director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name
James Cameron,723,178,0,855,Joel David Moore
Gore Verbinski,302,169,563,1000,Orlando Bloom
Sam Mendes,602,148,0,161,Rory Kinnear
Christopher Nolan,813,164,22000,23000,Christian Bale
Doug Walker,,,131,,Rob Walker
Andrew Stanton,462,132,475,530,Samantha Morton
Sam Raimi,392,156,0,4000,James Franco
Nathan Greno,324,100,15,284,Donna Murphy
Joss Whedon,635,141,0,19000,Robert Downey Jr.
David Yates,375,153,282,10000,Daniel Radcliffe
Zack Snyder,673,183,0,2000,Lauren Cohan
Bryan Singer,434,169,0,903,Marlon Brando
Marc Forster,403,106,395,393,Mathieu Amalric
Gore Verbinski,313,151,563,1000,Orlando Bloom
Gore Verbinski,450,150,563,1000,Ruth Wilson
Zack Snyder,733,143,0,748,Christopher Meloni
Andrew Adamson,258,150,80,201,Pierfrancesco Favino
Joss Whedon,703,173,0,19000,Robert Downey Jr.
Rob Marshall,448,136,252,1000,Sam Claflin
Barry Sonnenfeld,451,106,188,718,Michael Stuhlbarg
Peter Jackson,422,164,0,773,Adam Brown
Marc Webb,599,153,464,963,Andrew Garfield
Ridley Scott,343,156,0,738,William Hurt
Peter Jackson,509,186,0,773,Adam Brown
Chris Weitz,251,113,129,1000,Eva Green
Peter Jackson,446,201,0,84,Thomas Kretschmann
James Cameron,315,194,0,794,Kate Winslet
Anthony Russo,516,147,94,11000,Scarlett Johansson
Peter Berg,377,131,532,627,Alexander Skarsgård
Colin Trevorrow,644,124,365,1000,Judy Greer
